paper_compound_no,chembl_id,canonical_smiles,standard_relation,ic50_nM,standard_units,assay_id,assay_description,pIC50
"1; GDC-1971, RLY-1971",CHEMBL5412197,Cl.N[C@@H]1c2ccccc2OC12CCN(c1cnc3c(N4CCCc5ncccc54)n[nH]c3n1)CC2,<,1,nM,2358886,Inhibition of wild-type full-length SHP2 (unknown origin) expressed in Escherichia coli BL21(DE3) using DiFMUP as substrate preincubated for 30 mins followed by substrate addition by fluorescence based assay,9.0
13,CHEMBL5414274,N[C@@H]1c2ccccc2CC12CCN(c1cnc3c(N4CCCc5ncccc54)n[nH]c3n1)CC2,<,1,nM,2358886,Inhibition of wild-type full-length SHP2 (unknown origin) expressed in Escherichia coli BL21(DE3) using DiFMUP as substrate preincubated for 30 mins followed by substrate addition by fluorescence based assay,9.0
5,CHEMBL5430267,CC1(N)CCN(c2cnc3c(Sc4ccnc(N)c4Cl)n[nH]c3n2)CC1,=,3,nM,2358886,Inhibition of wild-type full-length SHP2 (unknown origin) expressed in Escherichia coli BL21(DE3) using DiFMUP as substrate preincubated for 30 mins followed by substrate addition by fluorescence based assay,8.52
14,CHEMBL5439718,N[C@@H]1Cc2ccccc2C12CCN(c1cnc3c(N4CCCc5ncccc54)n[nH]c3n1)CC2,=,3,nM,2358886,Inhibition of wild-type full-length SHP2 (unknown origin) expressed in Escherichia coli BL21(DE3) using DiFMUP as substrate preincubated for 30 mins followed by substrate addition by fluorescence based assay,8.52
11,CHEMBL5433575,C[C@@H]1OCC2(CCN(c3cnc4c(N5CCCc6ncccc65)n[nH]c4n3)CC2)[C@@H]1N,=,5,nM,2358886,Inhibition of wild-type full-length SHP2 (unknown origin) expressed in Escherichia coli BL21(DE3) using DiFMUP as substrate preincubated for 30 mins followed by substrate addition by fluorescence based assay,8.3
6,CHEMBL5403586,CC1(N)CCN(c2cnc3c(Oc4ccnc(N)c4Cl)n[nH]c3n2)CC1,=,10,nM,2358886,Inhibition of wild-type full-length SHP2 (unknown origin) expressed in Escherichia coli BL21(DE3) using DiFMUP as substrate preincubated for 30 mins followed by substrate addition by fluorescence based assay,8.0
15,CHEMBL5404572,CN1c2ccccc2[C@@H](N)C12CCN(c1cnc3c(N4CCCc5ncccc54)n[nH]c3n1)CC2,=,13,nM,2358886,Inhibition of wild-type full-length SHP2 (unknown origin) expressed in Escherichia coli BL21(DE3) using DiFMUP as substrate preincubated for 30 mins followed by substrate addition by fluorescence based assay,7.89
2,CHEMBL5191319,CC1(N)CCN(c2cnc3c(-c4cccc(Cl)c4Cl)n[nH]c3n2)CC1,=,18,nM,2358886,Inhibition of wild-type full-length SHP2 (unknown origin) expressed in Escherichia coli BL21(DE3) using DiFMUP as substrate preincubated for 30 mins followed by substrate addition by fluorescence based assay,7.74
10,CHEMBL5429843,CC1(CN)CCN(c2cnc3c(N4CCCc5ncccc54)n[nH]c3n2)CC1,=,31,nM,2358886,Inhibition of wild-type full-length SHP2 (unknown origin) expressed in Escherichia coli BL21(DE3) using DiFMUP as substrate preincubated for 30 mins followed by substrate addition by fluorescence based assay,7.51
4,CHEMBL5395323,CC1(N)CCN(c2cnc3c(Sc4ccccc4Cl)n[nH]c3n2)CC1,=,38,nM,2358886,Inhibition of wild-type full-length SHP2 (unknown origin) expressed in Escherichia coli BL21(DE3) using DiFMUP as substrate preincubated for 30 mins followed by substrate addition by fluorescence based assay,7.42
9,CHEMBL5407072,CC1(N)CCN(c2cnc3c(N4CCCc5ncccc54)n[nH]c3n2)CC1,=,41,nM,2358886,Inhibition of wild-type full-length SHP2 (unknown origin) expressed in Escherichia coli BL21(DE3) using DiFMUP as substrate preincubated for 30 mins followed by substrate addition by fluorescence based assay,7.39
7,CHEMBL5431956,CC1(N)CCN(c2cnc3c(Nc4ccnc(N)c4Cl)n[nH]c3n2)CC1,=,100,nM,2358886,Inhibition of wild-type full-length SHP2 (unknown origin) expressed in Escherichia coli BL21(DE3) using DiFMUP as substrate preincubated for 30 mins followed by substrate addition by fluorescence based assay,7.0
3,CHEMBL4776940,CC1(N)CCN(c2cnc3c(-c4cccc(Cl)c4F)n[nH]c3n2)CC1,=,120,nM,2358886,Inhibition of wild-type full-length SHP2 (unknown origin) expressed in Escherichia coli BL21(DE3) using DiFMUP as substrate preincubated for 30 mins followed by substrate addition by fluorescence based assay,6.92
8,CHEMBL5402788,CC1(N)CCN(c2cnc3c(N4CCCc5ccccc54)n[nH]c3n2)CC1,=,130,nM,2358886,Inhibition of wild-type full-length SHP2 (unknown origin) expressed in Escherichia coli BL21(DE3) using DiFMUP as substrate preincubated for 30 mins followed by substrate addition by fluorescence based assay,6.89
12,CHEMBL5426862,C[C@]1(CN)CC[C@@H](c2cnc3c(N4CCCc5ncccc54)n[nH]c3n2)CC1,=,310,nM,2358886,Inhibition of wild-type full-length SHP2 (unknown origin) expressed in Escherichia coli BL21(DE3) using DiFMUP as substrate preincubated for 30 mins followed by substrate addition by fluorescence based assay,6.51
